venue,Relevancy
journal of the national medical association,Irrelevant
journal of taibah university medical sciences,Irrelevant
current problems in diagnostic radiology,Irrelevant
journal of computer science and technology,Irrelevant
journal of experimental psychology: applied,Irrelevant
journal of pediatric and adolescent gynecology,Irrelevant
journal of statistical mechanics-theory and experiment,Irrelevant
the electricity journal,Irrelevant
computers & electrical engineering,Irrelevant
cities,Irrelevant
communications in information literacy,Relevant
journal of cosmetic dermatology,Irrelevant
cultura y educacion,Irrelevant
information communication and society,Relevant
journal of computer-mediated communication,Irrelevant
frontiers in medicine,Irrelevant
journal of experimental psychology: general,Irrelevant
annales geophysicae,Irrelevant
symmetry,Irrelevant
social analysis,Irrelevant
engineering applications of artificial intelligence,Irrelevant
acm transactions on internet technology,Irrelevant
journal of police and criminal psychology,Irrelevant
ultramicroscopy,Irrelevant
entrepalavras,Irrelevant
combinatorics probability & computing,Irrelevant
european journal of cultural studies,Irrelevant
journal of ambient intelligence and humanized computing,Irrelevant
siam journal on applied dynamical systems,Irrelevant
journal of disaster research,Irrelevant
journal of strategic studies,Irrelevant
international journal of web information systems,Irrelevant
artificial intelligence review,Irrelevant
frontiers in psychiatry,Irrelevant
journal of polytechnic-politeknik dergisi,Irrelevant
journal of public health (united kingdom),Irrelevant
international journal of machine learning and cybernetics,Irrelevant
open forum infectious diseases,Irrelevant
international communication gazette,Irrelevant
journal of physics: complexity,Irrelevant
"science, technology and society",Irrelevant
journal of children and media,Irrelevant
global health-science and practice,Irrelevant
globalizations,Irrelevant
journal of communication inquiry,Irrelevant
journal of medieval history,Irrelevant
perspectives on politics,Irrelevant
ieee-acm transactions on networking,Irrelevant
bmj (clinical research ed. ),Irrelevant
somatechnics,Irrelevant
discourse and society,Irrelevant
journal of internet services and applications,Irrelevant
journal of computers,Irrelevant
international journal of information security and privacy,Irrelevant
journal of marketing research,Irrelevant
folklore-electronic journal of folklore,Irrelevant
health promotion practice,Irrelevant
systems,Irrelevant
recent advances in computer science and communications,Irrelevant
substance use and misuse,Irrelevant
journal of applied journalism and media studies,Irrelevant
electronic commerce research and applications,Irrelevant
asia pacific journal of anthropology,Irrelevant
journal of the chinese institute of engineers,Irrelevant
international journal of retail and distribution management,Irrelevant
wireless communications and mobile computing,Irrelevant
computer systems science and engineering,Irrelevant
ieice transactions on communications,Irrelevant
mathematical problems in engineering,Irrelevant
evolution and human behavior,Irrelevant
ieee multimedia,Irrelevant
algorithmica,Irrelevant
journal of information & knowledge management,Irrelevant
ieee latin america transactions,Irrelevant
journal of information security and applications,Partial Relevant
modern physics letters b,Irrelevant
inquiry (united kingdom),Irrelevant
ingenierie des systemes d'information,Irrelevant
infectious disease reports,Irrelevant
international journal of electronic security and digital forensics,Irrelevant
historical studies in the natural sciences,Irrelevant
computational intelligence,Irrelevant
journal of fish biology,Irrelevant
developmental review,Irrelevant
computers in human behavior reports,Irrelevant
international journal of gynecology & obstetrics,Irrelevant
transplantation,Irrelevant
seismological research letters,Irrelevant
applied nursing research,Irrelevant
progress in disaster science,Irrelevant
the lancet,Irrelevant
journal of volcanology and geothermal research,Irrelevant
journal of substance abuse treatment,Irrelevant
"ethics, medicine and public health",Irrelevant
learning and instruction,Irrelevant
european journal of obstetrics & gynecology and reproductive biology,Irrelevant
learning and motivation,Irrelevant
"journal of obstetric, gynecologic & neonatal nursing",Irrelevant
journal of behavior therapy and experimental psychiatry,Irrelevant
"international journal of law, crime and justice",Irrelevant
journal of the geological society,Irrelevant
ssm - qualitative research in health,Irrelevant
lwt-food science and technology,Irrelevant
socio-economic planning sciences,Irrelevant
extrapolation,Irrelevant
transport policy,Irrelevant
geological quarterly,Irrelevant
the north american journal of economics and finance,Irrelevant
safety science,Irrelevant
democratization,Irrelevant
acta materialia,Irrelevant
applied soil ecology,Irrelevant
fisheries oceanography,Irrelevant
sage open,Irrelevant
journal of experimental social psychology,Irrelevant
global discourse,Irrelevant
indian journal of fisheries,Irrelevant
journal of building engineering,Irrelevant
journal of east asian studies,Irrelevant
the social science journal,Irrelevant
frontiers in genetics,Irrelevant
sexual medicine reviews,Irrelevant
journal of professional nursing,Irrelevant
journal of affective disorders reports,Irrelevant
research in autism spectrum disorders,Irrelevant
industrial marketing management,Irrelevant
archives of psychiatric nursing,Irrelevant
contemporary educational psychology,Irrelevant
journal of pediatric health care,Irrelevant
transfusion and apheresis science,Irrelevant
the journal of allergy and clinical immunology: in practice,Irrelevant
trends in food science & technology,Irrelevant
progress in cardiovascular diseases,Irrelevant
indian journal of tuberculosis,Irrelevant
journal of economic behavior & organization,Irrelevant
european journal of paediatric neurology,Irrelevant
geriatric nursing,Irrelevant
clinical neurology and neurosurgery,Irrelevant
current opinion in immunology,Irrelevant
one health,Irrelevant
the spine journal,Irrelevant
stem cell reports,Irrelevant
academic radiology,Irrelevant
procedia technology,Irrelevant
journal of psychosomatic research,Irrelevant
journal of health economics,Irrelevant
the journal of arthroplasty,Irrelevant
musculoskeletal science and practice,Irrelevant
computers in biology and medicine,Irrelevant
journal of behavioral and experimental finance,Irrelevant
journal of the american college of radiology,Irrelevant
academic pediatrics,Irrelevant
"computers, environment and urban systems",Irrelevant
procedia cirp,Irrelevant
transplantation proceedings,Irrelevant
ssm - population health,Irrelevant
women's studies international forum,Irrelevant
scientific african,Irrelevant
chest,Irrelevant
international journal of information management data insights,Partial Relevant
the american journal of medicine,Irrelevant
addictive behaviors,Irrelevant
acta de investigación psicológica,Irrelevant
research in international business and finance,Irrelevant
ieee transactions on cybernetics,Irrelevant
environmental pollution,Irrelevant
journal of personality and social psychology,Irrelevant
machine learning,Irrelevant
ieee consumer electronics magazine,Irrelevant
brain sciences,Irrelevant
journal of librarianship and information science,Relevant
cooperation and conflict,Irrelevant
policy and internet,Irrelevant
global crime,Irrelevant
international journal of pervasive computing and communications,Irrelevant
safety,Irrelevant
jmir mhealth and uhealth,Irrelevant
journal of information technology and politics,Partial Relevant
fuel,Irrelevant
russian literature,Irrelevant
corpora,Irrelevant
"global knowledge, memory and communication",Relevant
middle east journal of culture and communication,Irrelevant
obstetrics and gynecology,Irrelevant
journal of clinical investigation,Irrelevant
omega,Irrelevant
international journal of pharmaceutics,Irrelevant
swiss political science review,Irrelevant
bulletin of electrical engineering and informatics,Irrelevant
spinal cord,Irrelevant
southern medical journal,Irrelevant
international journal of distributed sensor networks,Irrelevant
iet networks,Irrelevant
jisuanji yanjiu yu fazhan/computer research and development,Irrelevant
information technology and control,Partial Relevant
brazilian archives of biology and technology,Irrelevant
desidoc journal of library and information technology,Relevant
journal of common market studies,Irrelevant
world medical and health policy,Irrelevant
libri,Relevant
traitement du signal,Irrelevant
malaysian orthopaedic journal,Irrelevant
central european journal of communication,Irrelevant
data mining and knowledge discovery,Irrelevant
"philosophical transactions of the royal society a: mathematical, physical and engineering sciences",Irrelevant
risk analysis,Irrelevant
computer law & security review,Irrelevant
"church, communication and culture",Irrelevant
powder technology,Irrelevant
mountain research and development,Irrelevant
journal of multinational financial management,Irrelevant
pathogens,Irrelevant
european economic review,Irrelevant
journal of gaming and virtual worlds,Irrelevant
international journal of nursing sciences,Irrelevant
vestnik tomskogo gosudarstvennogo universiteta-filosofiya-sotsiologiya-politologiya-tomsk state university journal of philosophy sociology and political science,Irrelevant
journal of scandinavian cinema,Irrelevant
language & communication,Irrelevant
land use policy,Irrelevant
the quarterly review of economics and finance,Irrelevant
computers & chemical engineering,Irrelevant
acta dermato-venereologica,Irrelevant
journal of banking & finance,Irrelevant
journal of aging studies,Irrelevant
journal of environmental radioactivity,Irrelevant
geophysical research letters,Irrelevant
information society,Irrelevant
international journal of automotive and mechanical engineering,Irrelevant
television & new media,Irrelevant
journal of nanoparticle research,Irrelevant
north american journal of fisheries management,Irrelevant
revista de comunicacion,Irrelevant
digital health,Irrelevant
information and learning science,Relevant
journal of language aggression and conflict,Irrelevant
skandinavskaya filologiya,Irrelevant
basin research,Irrelevant
deep-sea research part ii-topical studies in oceanography,Irrelevant
pacific journalism review,Irrelevant
journal of mathematical analysis and applications,Irrelevant
omics a journal of integrative biology,Irrelevant
games and culture,Irrelevant
journal of organic chemistry,Irrelevant
internet histories,Irrelevant
journal of antitrust enforcement,Irrelevant
open public health journal,Irrelevant
wilderness & environmental medicine,Irrelevant
critique of anthropology,Irrelevant
journal of experimental psychology-learning memory and cognition,Irrelevant
american journal of clinical pathology,Irrelevant
psychology of popular media,Irrelevant
legal and criminological psychology,Irrelevant
culture health & sexuality,Irrelevant
journal of experimental & theoretical artificial intelligence,Irrelevant
american politics research,Irrelevant
journal of vascular access,Irrelevant
journal of experimental political science,Irrelevant
psychology and aging,Irrelevant
iaes international journal of artificial intelligence,Irrelevant
psychological science,Irrelevant
bmc research notes,Irrelevant
journal of combinatorial optimization,Irrelevant
earth system science data,Irrelevant
journal of the american medical informatics association,Irrelevant
journal of the australian library and information association,Relevant
october,Irrelevant
communication law and policy,Irrelevant
wireless communications & mobile computing,Irrelevant
distributed computing,Irrelevant
saude e sociedade,Irrelevant
revista panamericana de salud publica-pan american journal of public health,Irrelevant
communication teacher,Irrelevant
information & communications technology law,Irrelevant
makara hubs-asia,Irrelevant
portal-libraries and the academy,Partial Relevant
inquiry-the journal of health care organization provision and financing,Irrelevant
journal of forensic psychiatry & psychology,Irrelevant
data in brief,Irrelevant
current psychiatry research and reviews,Irrelevant
acta physica sinica,Irrelevant
international journal of asian business and information management,Irrelevant
information economics and policy,Irrelevant
nature,Irrelevant
journal of borderlands studies,Irrelevant
journal of statistical mechanics: theory and experiment,Irrelevant
personal and ubiquitous computing,Relevant
social cognition,Irrelevant
experimental aging research,Irrelevant
cognitive development,Irrelevant
clinical journal of oncology nursing,Irrelevant
periodicals of engineering and natural sciences,Irrelevant
global health science and practice,Irrelevant
journal of broadcasting & electronic media,Irrelevant
british journal of psychology,Irrelevant
medicine,Irrelevant
international journal of public opinion research,Irrelevant
health promotion perspectives,Irrelevant
tobacco induced diseases,Irrelevant
mobile information systems,Irrelevant
australasian psychiatry,Irrelevant
chiropractic & manual therapies,Irrelevant
healthcare,Irrelevant
efsa journal,Irrelevant
emotion,Irrelevant
angelaki-journal of the theoretical humanities,Irrelevant
revista da escola de enfermagem da usp,Irrelevant
discrete and continuous dynamical systems - series b,Irrelevant
journal of information policy,Irrelevant
amazonia investiga,Irrelevant
aapg bulletin,Irrelevant
documentacion de las ciencias de la informacion,Irrelevant
expert opinion on therapeutic patents,Irrelevant
cureus journal of medical science,Irrelevant
ciencia & saude coletiva,Irrelevant
revista de estudos da linguagem,Irrelevant
ratio juris,Irrelevant
discourse & society,Irrelevant
south african journal of international affairs-sajia,Irrelevant
bundesgesundheitsblatt-gesundheitsforschung-gesundheitsschutz,Irrelevant
problemy zarzadzania-management issues,Irrelevant
artnodes,Irrelevant
hts teologiese studies-theological studies,Irrelevant
journal of information technology & politics,Partial Relevant
journal of cold war studies,Irrelevant
journal of logic and computation,Irrelevant
historical research,Irrelevant
journal of public health-heidelberg,Irrelevant
review of european and comparative law,Irrelevant
business horizons,Irrelevant
migraciones,Irrelevant
analisi-quaderns de comunicacio i cultura,Irrelevant
cureus,Irrelevant
security and human rights,Irrelevant
aslib journal of information management,Relevant
textual practice,Irrelevant
barataria-revista castellano-manchega de ciencias sociales,Irrelevant
european journal of international law,Irrelevant
contemporary politics,Irrelevant
ai & society,Irrelevant
multiple sclerosis and related disorders,Irrelevant
"communication, culture and critique",Irrelevant
journal of empirical legal studies,Irrelevant
applied network science,Irrelevant
journal of marketing management,Irrelevant
economic record,Irrelevant
bibliothek forschung und praxis,Irrelevant
connections,Irrelevant
discourse & communication,Irrelevant
revista geintec-gestao inovacao e tecnologias,Irrelevant
sustainable cities and society,Irrelevant
new review of hypermedia and multimedia,Irrelevant
scientific and technical information processing,Irrelevant
asian journal of communication,Irrelevant
tsinghua science and technology,Irrelevant
studia universitatis vasile goldis arad seria stiinte economice,Irrelevant
telecommunications policy,Relevant
proceedings of the association for information science and technology,Irrelevant
journal of academic librarianship,Relevant
telos-revista interdisciplinaria en ciencias sociales,Irrelevant
social epistemology,Irrelevant
jurnal cita hukum-indonesian law journal,Irrelevant
phytotaxa,Irrelevant
public integrity,Irrelevant
economic modelling,Irrelevant
revista da associacao medica brasileira,Irrelevant
aims mathematics,Irrelevant
personality and social psychology bulletin,Irrelevant
journal of complex networks,Irrelevant
ieee transactions on network and service management,Irrelevant
european journal of operational research,Irrelevant
jurnal komunikasi-malaysian journal of communication,Irrelevant
international arab journal of information technology,Irrelevant
discrete applied mathematics,Irrelevant
siam journal on discrete mathematics,Irrelevant
third world quarterly,Irrelevant
journal of industrial and management optimization,Irrelevant
sn applied sciences,Irrelevant
annals of medicine,Irrelevant
ethnos,Irrelevant
mathematical methods in the applied sciences,Irrelevant
current opinion in infectious diseases,Irrelevant
ieee transactions on emerging topics in computing,Irrelevant
teaching and teacher education,Irrelevant
european journal of public health,Irrelevant
journal of the association of nurses in aids care,Irrelevant
communication research and practice,Irrelevant
sensors and materials,Irrelevant
botanical sciences,Irrelevant
international journal of energy production and management,Irrelevant
biodiversitas,Irrelevant
medical journal armed forces india,Irrelevant
transactions of the association for computational linguistics,Irrelevant
